"id","idDapil","nama","namaPartai","noUrut","originalFilename","stringJenisKelamin"
24957,10,"H. MUHAMMAD FADLI, S.H.","Partai Kebangkitan Bangsa",5,"E-FOTO 4X6 BERWARNA_M. FADLI_JAMBI.jpg","Laki-Laki"
39714,10,"YULIWARNI","Partai Kebangkitan Bangsa",6,"E-FOTO BERWARNA 4X6_YULIWANI_JAMBI.jpg","Perempuan"
61488,10,"KASPUL ANWAR, S.E","Partai Kebangkitan Bangsa",7,"E-FOTO BERWARNA 4X6_KASPUL ANWAR_JAMBI.jpg","Laki-Laki"
61362,10,"FIKA NOVITA SARI, S.Sos.","Partai Kebangkitan Bangsa",8,"E-FOTO 4X6 BERWARNA_FIKA NOVITA SARI_JAMBI.jpg","Perempuan"
265104,10,"Ir. H.A.R. SUTAN ADIL HENDRA, MM","PARTAI GERAKAN INDONESIA RAYA",1,"Foto.jpg","Laki-Laki"
82132,10,"SRI BUDIYATI","PARTAI GERAKAN INDONESIA RAYA",2,"Sri Budiyati (Gerindra).JPG","Perempuan"
177794,10,"Drs. H.A. MURADY DARMANSYAH","PARTAI GERAKAN INDONESIA RAYA",3,"FOTO Drs. H. A. MURIDY DARMANSYAH_20180712_0001.jpg","Laki-Laki"
122186,10,"H. SUPARMAN","PARTAI GERAKAN INDONESIA RAYA",4,"Foto.jpg","Laki-Laki"
82285,10,"Hj. JOYCE AIPASSA","PARTAI GERAKAN INDONESIA RAYA",5,"Foto.JPG","Perempuan"
82577,10,"dr. DICKY MUHAMMAD ISKANDAR","PARTAI GERAKAN INDONESIA RAYA",6,"Foto.jpg","Laki-Laki"
294606,10,"A. GUNAWAN, SE","PARTAI GERAKAN INDONESIA RAYA",7,"IMG_20180726_0001.jpg","Laki-Laki"
294803,10,"YANTI MARIA SUSANTI, SE","PARTAI GERAKAN INDONESIA RAYA",8,"IMG_20180723_0001.jpg","Perempuan"
22257,10,"M.R. IHSAN YUNUS","PARTAI DEMOKRASI INDONESIA PERJUANGAN",1,"Foto.jpg","Laki-Laki"
38427,10,"AGUSTIANI TIO FRIDELINA","PARTAI DEMOKRASI INDONESIA PERJUANGAN",2,"Foto Agustiani Tio.jpg","Perempuan"
48923,10,"CHUMAIDI ZAIDI, S.E","PARTAI DEMOKRASI INDONESIA PERJUANGAN",3,"Foto Chumaidi.jpg","Laki-Laki"
51378,10,"H. TAFYANI KASIM","PARTAI DEMOKRASI INDONESIA PERJUANGAN",4,"Photo Tafyani.jpg","Laki-Laki"
51707,10,"HENNI ASTUTI, S.H., M.H.","PARTAI DEMOKRASI INDONESIA PERJUANGAN",5,"Foto Henny New.jpg","Perempuan"
49111,10,"R.H.M BENNY SUBAGIA","PARTAI DEMOKRASI INDONESIA PERJUANGAN",6,"Foto Benny.jpg","Laki-Laki"
