id	idDapil	nama	namaPartai	noUrut	originalFilename	stringJenisKelamin
253808	100	IBNU HARBANI	Partai Keadilan Sejahtera	1	PAK IBNU PUTIH.jpg	Laki-Laki
253983	100	Dra. HJ. HIDAYAH HERLINA GUSTI NASUTION	Partai Keadilan Sejahtera	2	HIDAYAH.jpg	Perempuan
254182	100	ETTY WAHYUNI, S.Pd.	Partai Keadilan Sejahtera	3	BU ETTY .jpg	Perempuan
254317	100	MEILIA	Partai Keadilan Sejahtera	4	MELIA.jpg	Perempuan
292399	100	NAZRINA ZAHARA NST	Partai Keadilan Sejahtera	5	ZAHRA.jpg	Perempuan
259090	100	RAMADHAYANI SARAGIH, S.Pd.I.	Partai Keadilan Sejahtera	6	RAMADHAYANI.jpg	Perempuan
id	idDapil	nama	namaPartai	noUrut	originalFilename	stringJenisKelamin
68634	100	ROSMAULI GULTOM, S.Pd, M.Pd	Persatuan Indonesia	1	Pas Photo.jpg	Perempuan
103188	100	BAREN SARAGIH	Persatuan Indonesia	2	Pas Photo.jpeg	Laki-Laki
93751	100	MARULAM MANGULAHI TUAH SIMARMATA, SP., M.Si	Persatuan Indonesia	3	Pas Photo.jpg	Laki-Laki
77315	100	DARMAYANI DAMANIK, SH	Persatuan Indonesia	4	Pas Photo.jpeg	Perempuan
105624	100	DJUDJURAN TARIGAN, SH	Persatuan Indonesia	5	Pas Photo.jpg	Laki-Laki
137370	100	IR. N SOALOON SILITONGA, M.A.P	Persatuan Indonesia	6	Pas Photo.jpeg	Laki-Laki
168186	100	NOVALITA DEBORA HUTAURUK	Persatuan Indonesia	7	Pas photo.jpeg	Perempuan
94660	100	ADE FARNAN SARAGIH, ST	Persatuan Indonesia	8	Pas Photo.jpeg	Laki-Laki
id	idDapil	nama	namaPartai	noUrut	originalFilename	stringJenisKelamin
58604	100	SUHADI, SH, MM	Partai Persatuan pembangunan	2	FOTO.jpg	Laki-Laki
296953	100	SUKMA PRATIWI, SE	Partai Persatuan pembangunan	3	TIWI.jpg	Perempuan
70139	100	IBRAHIM AUDAH	Partai Persatuan pembangunan	4	IMG_8448 .jpg	Laki-Laki
185301	100	Drs. HUSNI THAMRIN LUBIS, M.Pd.I	Partai Persatuan pembangunan	5	HUSNI THAMRIN.jpg	Laki-Laki
186130	100	SASMITA SIREGAR, SP, MSI	Partai Persatuan pembangunan	6	SASMITA SIREGAR.jpg	Perempuan
186435	100	WAWAN SEPTIAWAN DAMANIK	Partai Persatuan pembangunan	7	PAS PHOTO.jpg	Laki-Laki
297257	100	NURMALA HAYATI	Partai Persatuan pembangunan	8	NURMALA.jpg	Perempuan
id	idDapil	nama	namaPartai	noUrut	originalFilename	stringJenisKelamin
138094	100	LEONARD TAMPUBOLON	Partai Solidaritas Indonesia	1	PAS PHOTO.jpg	Laki-Laki
150045	100	JEFFRI. H. DAMANIK, SP	Partai Solidaritas Indonesia	2	p_.jpeg	Laki-Laki
221086	100	ELLY MARNI SILALAHI	Partai Solidaritas Indonesia	3	Photo-1.jpg	Perempuan
167465	100	HENDRA YUDHY NASUTION, SH	Partai Solidaritas Indonesia	4	Pas Foto.JPG	Laki-Laki
218524	100	LUCIANA, SE	Partai Solidaritas Indonesia	5	WhatsApp Image 2018-07-16 at 7.54.54 AM.jpeg	Perempuan
219912	100	PARDO PANDIANGAN, S.Pd	Partai Solidaritas Indonesia	6	Foto Pardo.jpeg	Laki-Laki
213491	100	FATIMAH	Partai Solidaritas Indonesia	7	3.jpg	Perempuan
240704	100	KOLAHMAN SARAGIH, SH	Partai Solidaritas Indonesia	8	pas Foto-001.jpg	Laki-Laki
id	idDapil	nama	namaPartai	noUrut	originalFilename	stringJenisKelamin
115099	100	BURHANUDDIN SINAGA	PARTAI AMANAT NASIONAL	1	4X6.jpg	Laki-Laki
130293	100	DRS. H. UMAR KHATIB, M.PD	PARTAI AMANAT NASIONAL	2	4X6.jpg	Laki-Laki
158844	100	YULIFA RAHMAH HUTABARAT	PARTAI AMANAT NASIONAL	3	4X6.jpg	Perempuan
294443	100	RUDI HARTONO	PARTAI AMANAT NASIONAL	4	RUDI HARTONO.jpg	Laki-Laki
158261	100	SRI HAYANA	PARTAI AMANAT NASIONAL	5	4X6.jpg	Perempuan
158593	100	ANDRI GULTOM	PARTAI AMANAT NASIONAL	6	4X6.jpg	Laki-Laki
155078	100	KASUMIATI SIREGAR	PARTAI AMANAT NASIONAL	7	4X6.jpg	Perempuan
170521	100	ARMAN SYAHPUTRA	PARTAI AMANAT NASIONAL	8	4X6.jpg	Laki-Laki
id	idDapil	nama	namaPartai	noUrut	originalFilename	stringJenisKelamin
230617	100	H. RUSDI LUBIS, SH, MMA	Partai Hati Nurani Rakyat	1	3-3-4x6 FC.jpg	Laki-Laki
113791	100	PARDOMUAN NAULI SIMANJUNTAK	Partai Hati Nurani Rakyat	2	Pas Photo.jpg	Laki-Laki
117100	100	LELY MARINCE M AMBARITA, SE	Partai Hati Nurani Rakyat	3	img009.jpg	Perempuan
136190	100	EDUARD PAKPAHAN, S.H.	Partai Hati Nurani Rakyat	4	Pas Photo.jpg	Laki-Laki
195970	100	RIFQI ARIGA	Partai Hati Nurani Rakyat	5	Pas Foto Rifki.jpg	Laki-Laki
301336	100	ROSTA SIANTURI, SE	Partai Hati Nurani Rakyat	6	Pasfoto Rosta Sianturi, SE.jpg	Perempuan
195599	100	MUHAMMAD NUHFAN RITONGA	Partai Hati Nurani Rakyat	7	Pas Foto Nuhfan.jpg	Laki-Laki
301340	100	SITI HUMAIRA	Partai Hati Nurani Rakyat	8	PASFOTO SITI HUMAIRA.jpeg	Perempuan
id	idDapil	nama	namaPartai	noUrut	originalFilename	stringJenisKelamin
295346	100	SAUT B. PURBA, SE	PARTAI DEMOKRAT	1	pasphoto.jpg	Laki-Laki
131932	100	DAPOTAN SILALAHI	PARTAI DEMOKRAT	2	PASPHOTO.jpg	Laki-Laki
155854	100	RIAMA KARLINA, SE	PARTAI DEMOKRAT	3	FOTO.jpg	Perempuan
240973	100	NAFA FRICILIA	PARTAI DEMOKRAT	4	NAFA PRIS.jpg	Perempuan
135962	100	IR. AMSAR SARAGIH, MM	PARTAI DEMOKRAT	5	FOTO.jpg	Laki-Laki
139796	100	MEGALIA AGUSTINA, SE	PARTAI DEMOKRAT	6	PASPHOTO.jpg	Perempuan
295409	100	BORKAT HASIBUAN,S.AG, M.SP	PARTAI DEMOKRAT	7	WhatsApp Image 2018-07-30 at 22.01.27.jpeg	Laki-Laki
243979	100	AUGUSTINUS SURYADI SITANGGANG, SE	PARTAI DEMOKRAT	8	PASPHOTO.jpg	Laki-Laki
id	idDapil	nama	namaPartai	noUrut	originalFilename	stringJenisKelamin
284681	100	ARI SYAHPUTRA	Partai Bulan Bintang	1	ARI.jpg	Laki-Laki
284875	100	AKHMAD JOHARI DAMANIK, SH., MH	Partai Bulan Bintang	2	AKHMAD JOHARI DAMANIK.jpg	Laki-Laki
